나눔리더십,11095,양민석,1,1445,1445,,,,,,월 4(12:30~ 1:45)  /목 5( 2:00~ 3:15)  
나눔리더십,11095,이주아,2,2353,2353,,,,,,화 3(11:00~12:15)  /금 3(11:00~12:15)  
나눔리더십,11095,박현애,3,1344,1344,,,,,,월 3(11:00~12:15)  /목 4(12:30~ 1:45)  
나눔리더십,11095,윤소정,4,3354,3354,,,,,,수 3(11:00~12:15)  /금 4(12:30~ 1:45)  
나눔의인간학,11253,이지애,1,1736,1736,,,,,,월 7( 5:00~ 6:15)  /수 6( 3:30~ 4:45)  
관계의미학:사랑과윤리,11254,이숙진,1,2455,2455,,,,,,화 4(12:30~ 1:45)  /금 5( 2:00~ 3:15)  
우리말과글쓰기,10021,원은주,1,3251,3251,,,,,,수 2~2 캠B155 금 1~1 캠B155
우리말과글쓰기,10021,정보람,2,2241,2241,,,,,,화 2~2 캠B147 목 1~1 캠B147
우리말과글쓰기,10021,김소륜,3,1635,1635,,,,,,월 6( 3:30~ 4:45) 캠B147 /수 5( 2:00~ 3:15) 캠B147 
우리말과글쓰기,10021,김소륜,4,1736,1736,,,,,,월 7~7 캠B147 수 6~6 캠B147
우리말과글쓰기,10021,정보람,5,1243,1243,,,,,,월 2~2 캠B147 목 3~3 캠B147
우리말과글쓰기,10021,진선영,6,2647,2647,,,,,,화 6( 3:30~ 4:45) 포261 /목 7( 5:00~ 6:15) 포261 
사고력과글쓰기,10839,유성진,1,1243,1243,,,,,,월 2( 9:30~10:45) 국1202 /목 3(11:00~12:15) 국1202 
논리적사고와글쓰기,11178,허민,1,1344,1344,,,,,,월 3~3 종DB101 목 4~4 종DB101
논리적사고와글쓰기,11178,허민,2,1445,1445,,,,,,월 4(12:30~ 1:45) 종DB101 /목 5( 2:00~ 3:15) 종DB101 
스토리텔링과글쓰기,11202,박은경,1,2455,2455,,,,,,화 4~4 캠B147 금 5~5 캠B147
고전읽기와글쓰기,11094,박지희,1,1445,1445,,,,,,월 4(12:30~ 1:45) 캠B147 /목 5( 2:00~ 3:15) 캠B147 
고전읽기와글쓰기,11094,김세서리아,2,3251,3251,,,,,,수 2~2 캠B159 금 1~1 캠B159
고전읽기와글쓰기,11094,진선영,3,1736,1736,,,,,,월 7( 5:00~ 6:15) 캠B155 /수 6( 3:30~ 4:45) 캠B155 
고전읽기와글쓰기,11094,박혜정,4,3251,3251,,,,,,수 2~2 캠B147 금 1~1 캠B147
고전읽기와글쓰기,11094,박인희,5,3251,3251,,,,,,수 2( 9:30~10:45) 캠B321 /금 1( 8:00~ 9:15) 캠B321 
고전읽기와글쓰기,11094,곽수범,6,2142,2142,,,,,,화 1( 8:00~ 9:15) 캠B157 /목 2( 9:30~10:45) 캠B157 
고전읽기와글쓰기,11094,허찬,7,1736,1736,,,,,,월 7~7 캠B321 수 6~6 캠B321
고전읽기와글쓰기,11094,김세서리아,8,3354,3354,,,,,,수 3(11:00~12:15) 캠B144 /금 4(12:30~ 1:45) 캠B144 
