,,,,,,,,54/20,54/21
105,10023, 기독교와세계,1,1,3,3,null,2774,2786
105,10023, 기독교와세계,1,2,3,3,null,2774,2786
106,11352, 통합적사고와글쓰기,1,1,3,2,null,2775,2787
106,11352, 통합적사고와글쓰기,1,2,3,2,null,2775,2787
108,10098,College English,1,1,3,3,null,2777,2789
108,10098,College English,1,2,3,3,null,2777,2789
107,11208, IT융합설계개론,null,1,3,3,null,2776,2788
107,11208, IT융합설계개론,null,2,3,3,null,2776,2788
107,11206, 계산의기초와융합적문제해결,null,1,3,3,null,2776,2788
107,11206, 계산의기초와융합적문제해결,null,2,3,3,null,2776,2788
107,11204, 논리와컴퓨터,null,1,3,3,null,2776,2788
107,11204, 논리와컴퓨터,null,2,3,3,null,2776,2788
107,11357, 데이터컨버전스와법,null,1,3,3,null,2776,2788
107,11357, 데이터컨버전스와법,null,2,3,3,null,2776,2788
107,11373, 데이터컴퓨팅,null,1,3,3,null,2776,2788
107,11373, 데이터컴퓨팅,null,2,3,3,null,2776,2788
107,11356, 리눅스와시스템적사고,null,1,3,3,null,2776,2788
107,11356, 리눅스와시스템적사고,null,2,3,3,null,2776,2788
107,11309, 문제해결과SW프로그래밍,null,1,3,3,null,2776,2788
107,11309, 문제해결과SW프로그래밍,null,2,3,3,null,2776,2788
107,11365, 빅데이터와젠더,null,1,3,3,null,2776,2788
107,11365, 빅데이터와젠더,null,2,3,3,null,2776,2788
107,11367, 사회문제해결을위한R프로그래밍기초,null,1,3,3,null,2776,2788
107,11367, 사회문제해결을위한R프로그래밍기초,null,2,3,3,null,2776,2788
107,11233, 음악테크놀로지와프로그래밍,null,1,3,3,null,2776,2788
107,11233, 음악테크놀로지와프로그래밍,null,2,3,3,null,2776,2788
107,11368, 정보와인공지능의수리적이해,null,1,3,3,null,2776,2788
107,11368, 정보와인공지능의수리적이해,null,2,3,3,null,2776,2788
107,11205, 컴퓨터과학적인식과문제해결,null,1,3,3,null,2776,2788
107,11205, 컴퓨터과학적인식과문제해결,null,2,3,3,null,2776,2788
107,11374, 컴퓨터보안과윈도우포렌식,null,1,3,3,null,2776,2788
107,11374, 컴퓨터보안과윈도우포렌식,null,2,3,3,null,2776,2788
107,11362, 컴퓨터속의우주,null,1,3,3,null,2776,2788
107,11362, 컴퓨터속의우주,null,2,3,3,null,2776,2788
107,11369, 컴퓨터식문제해결기법,null,1,3,3,null,2776,2788
107,11369, 컴퓨터식문제해결기법,null,2,3,3,null,2776,2788
107,11232, 컴퓨터적사고와이해,null,1,3,3,null,2776,2788
107,11232, 컴퓨터적사고와이해,null,2,3,3,null,2776,2788
107,11234, 컴퓨터적사고와조형적활용,null,1,3,3,null,2776,2788
107,11234, 컴퓨터적사고와조형적활용,null,2,3,3,null,2776,2788
107,11211, 컴퓨팅적사고와프로그래밍,null,1,3,3,null,2776,2788
107,11211, 컴퓨팅적사고와프로그래밍,null,2,3,3,null,2776,2788
107,11364, 푸드테크시대의음식과디자인,null,1,3,3,null,2776,2788
107,11364, 푸드테크시대의음식과디자인,null,2,3,3,null,2776,2788
107,11207, 프로그래밍과통계적사고,null,1,3,3,null,2776,2788
107,11207, 프로그래밍과통계적사고,null,2,3,3,null,2776,2788
107,11361, 프로그래밍을위한컴퓨팅적사고,null,1,3,3,null,2776,2788
107,11361, 프로그래밍을위한컴퓨팅적사고,null,2,3,3,null,2776,2788
110,11053, 21세기사회와문학의대화,null,1,3,3,null,2779,2791
110,11053, 21세기사회와문학의대화,null,2,3,3,null,2779,2791
110,11334, Critical and Creative Textual Studies,null,1,3,3,null,2779,2791
110,11334, Critical and Creative Textual Studies,null,2,3,3,null,2779,2791
110,11183, The Story of Human Language,null,1,3,3,null,2779,2791
110,11183, The Story of Human Language,null,2,3,3,null,2779,2791
110,11165, Topics in Multiethnic American Literature,null,1,3,3,null,2779,2791
110,11165, Topics in Multiethnic American Literature,null,2,3,3,null,2779,2791
110,11112, 다매체시대의비교문학,null,1,3,3,null,2779,2791
110,11112, 다매체시대의비교문학,null,2,3,3,null,2779,2791
110,11108, 동아시아문학으로문화읽기,null,1,3,3,null,2779,2791
110,11108, 동아시아문학으로문화읽기,null,2,3,3,null,2779,2791
110,11038, 디지털미디어시대의동아시아문자,null,1,3,3,null,2779,2791
110,11038, 디지털미디어시대의동아시아문자,null,2,3,3,null,2779,2791
110,10041, 문학과삶,null,1,3,3,null,2779,2791
110,10041, 문학과삶,null,2,3,3,null,2779,2791
110,10654, 문학과영화,null,1,3,3,null,2779,2791
110,10654, 문학과영화,null,2,3,3,null,2779,2791
110,11148, 문학으로보는사랑의역사,null,1,3,3,null,2779,2791
110,11148, 문학으로보는사랑의역사,null,2,3,3,null,2779,2791
110,11184, 문학으로함께배우는매체/이야기,null,1,3,3,null,2779,2791
110,11184, 문학으로함께배우는매체/이야기,null,2,3,3,null,2779,2791
110,11146, 문화로읽는현대시의세계,null,1,3,3,null,2779,2791
110,11146, 문화로읽는현대시의세계,null,1,3,3,null,2779,2791
110,11147, 사이언스픽션의이해,null,1,3,3,null,2779,2791
110,11147, 사이언스픽션의이해,null,2,3,3,null,2779,2791
110,11297, 생태와문학,null,1,3,3,null,2779,2791
110,11297, 생태와문학,null,2,3,3,null,2779,2791
110,10768, 신화·상상력·문화,null,1,3,3,null,2779,2791
110,10768, 신화·상상력·문화,null,2,3,3,null,2779,2791
110,11109, 여행문학과세계인식,null,1,3,3,null,2779,2791
110,11109, 여행문학과세계인식,null,2,3,3,null,2779,2791
110,10882, 인간과언어,null,1,3,3,null,2779,2791
110,10882, 인간과언어,null,2,3,3,null,2779,2791
110,11258, 자연과문학,null,1,3,3,null,2779,2791
110,11258, 자연과문학,null,2,3,3,null,2779,2791
110,10543, 한국현대시와삶읽기,null,1,3,3,null,2779,2791
110,10543, 한국현대시와삶읽기,null,2,3,3,null,2779,2791
110,11134, 현대영어권문학의동향,null,1,3,3,null,2779,2791
110,11134, 현대영어권문학의동향,null,2,3,3,null,2779,2791
110,10896, 환상문학의세계,null,1,3,3,null,2779,2791
110,10896, 환상문학의세계,null,2,3,3,null,2779,2791
110,10950, 디지털스토리텔링의이해,null,1,3,3,null,2779,2791
110,10950, 디지털스토리텔링의이해,null,2,3,3,null,2779,2791
111,11107, 21세기의예술과인간,null,1,3,3,null,2780,2792
111,11107, 21세기의예술과인간,null,2,3,3,null,2780,2792
111,11164, Contemporary Photography,null,1,3,3,null,2780,2792
111,11164, Contemporary Photography,null,2,3,3,null,2780,2792
111,10033, 동양미술의이해,null,1,3,3,null,2780,2792
111,10033, 동양미술의이해,null,2,3,3,null,2780,2792
111,10778, 디지털매체와예술,null,1,3,3,null,2780,2792
111,10778, 디지털매체와예술,null,2,3,3,null,2780,2792
111,10576, 무용의이해,null,1,3,3,null,2780,2792
111,10576, 무용의이해,null,2,3,3,null,2780,2792
111,11153, 문화콘텐츠기획의이해,null,1,3,3,null,2780,2792
111,11153, 문화콘텐츠기획의이해,null,2,3,3,null,2780,2792
111,11328, 미술로치유하는마음,null,1,3,3,null,2780,2792
111,11328, 미술로치유하는마음,null,2,3,3,null,2780,2792
111,11083, 미학과미술,null,1,3,3,null,2780,2792
111,11083, 미학과미술,null,2,3,3,null,2780,2792
111,10072, 서양미술의이해,null,1,3,3,null,2780,2792
111,10072, 서양미술의이해,null,2,3,3,null,2780,2792
111,10073, 서양음악의이해,null,1,3,3,null,2780,2792
111,10073, 서양음악의이해,null,2,3,3,null,2780,2792
111,11084, 시각문화로서미술작품읽기,null,1,3,3,null,2780,2792
